Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
330109-4880941.pdf,TREMFYA,FDA labelled age,NA,NA,NA,NA,No,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,46
148593-4960549.pdf,STELARA,>=6,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,33
305252-5002815.pdf,TREMFYA,FDA labelled age,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,33
176207-4867884.pdf,TREMFYA,FDA labelled age,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,NA,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,42
324603-4962713.pdf,STELARA,>=6,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,NA,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,42
378692-5003182.pdf,STELARA,>=6,NA,NA,NA,NA,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,50
378792-5004240.pdf,TREMFYA,FDA labelled age,NA,NA,NA,NA,No,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,46
250819-3621812.pdf,STELARA,>=18,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,27
250819-3621812.pdf,TREMFYA,FDA labelled age,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,28,Unspecified,Yes,NA,42
296961-4569911.pdf,STELARA,>=4,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,Yes,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,31
296961-4569911.pdf,TREMFYA,>=4,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,Yes,Not specified,Dermatolog,Unspecified,Unspecified,Yes,NA,31
337814-4985370.pdf,STELARA,No,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,37
337814-4985370.pdf,TREMFYA,No,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,37
364054-4720790.pdf,STELARA,>=1,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,Rheumatolog,Unspecified,Unspecified,Yes,NA,33
364054-4720790.pdf,TREMFYA,>=1,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,Rheumatolog,Unspecified,Unspecified,Yes,NA,33
56061-4538520.pdf,STELARA,>=6,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,37
361486-4654549.pdf,TREMFYA,FDA labelled age,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,NA,Unspecified,Unspecified,Yes,NA,37
363337-5004251.pdf,STELARA,>=1,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,1,No,No,Not specified,Rheumatolog,Unspecified,Unspecified,Yes,NA,33
270849-4873664.pdf,TREMFYA,>=18,(synthetic seed) Patient must have failed one preferred biologic; topical/conventional trial considered.,1,NA,No,No,Not specified,Gastroenterolog,Unspecified,Unspecified,Yes,NA,28
